A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,origin,control,rating,condition,awareness
-0.001244,-0.001623,1.385E-4,1.462E-4,2.168E-5,3.06E-4,-7.215E-5,-8.211E-5,0.02693,-0.04281,-6.142E-4,1.091E-4,5.036E-5,2.518E-4,-4.174E-4,1.594E-4,junk,junk,junk,junk,junk
-0.001438,-0.00175,9.939E-5,1.442E-4,-5.331E-6,3.006E-4,-1.237E-4,-8.089E-5,0.0267,-0.04283,-7.009E-4,1.084E-4,-2.771E-5,2.486E-4,-5.04E-4,1.649E-4,junk,junk,junk,junk,junk
-0.001837,-0.001601,7.655E-5,1.371E-4,-4.548E-5,2.893E-4,-1.631E-4,-7.696E-5,0.02646,-0.04275,-7.947E-4,9.892E-5,-9.601E-5,2.294E-4,-5.827E-4,1.605E-4,junk,junk,junk,junk,junk
-0.001718,-0.001655,3.622E-5,1.361E-4,-9.607E-5,2.832E-4,-2.122E-4,-7.144E-5,0.02626,-0.04283,-8.516E-4,8.324E-5,-1.548E-4,2.125E-4,-6.677E-4,1.59E-4,junk,junk,junk,junk,junk
-0.001541,-0.001745,-1.463E-5,1.352E-4,-1.286E-4,2.762E-4,-2.483E-4,-7.815E-5,0.02669,-0.04356,-9.337E-4,7.944E-5,-2.168E-4,2.019E-4,-7.747E-4,1.533E-4,junk,junk,junk,junk,junk
-0.001461,-0.001699,-5.234E-5,1.312E-4,-1.685E-4,2.764E-4,-2.582E-4,-9.614E-5,0.02673,-0.04378,-9.89E-4,6.153E-5,-2.302E-4,1.799E-4,-8.229E-4,1.39E-4,junk,junk,junk,junk,junk
-0.001143,-0.001726,-8.177E-5,1.272E-4,-2.025E-4,2.759E-4,-2.57E-4,-1.107E-4,0.02655,-0.04381,-0.001028,5.139E-5,-2.748E-4,1.724E-4,-8.43E-4,1.306E-4,junk,junk,junk,junk,junk
-0.001235,-0.001569,-9.289E-5,1.198E-4,-2.066E-4,2.718E-4,-2.458E-4,-1.187E-4,0.02658,-0.04377,-0.001044,4.429E-5,-2.887E-4,1.599E-4,-8.208E-4,1.067E-4,junk,junk,junk,junk,junk
-9.154E-4,-0.001778,-9.46E-5,1.187E-4,-2.086E-4,2.588E-4,-2.609E-4,-1.106E-4,0.02664,-0.04398,-0.001044,3.61E-5,-2.64E-4,1.457E-4,-8.344E-4,1.036E-4,junk,junk,junk,junk,junk
-7.42E-4,-0.001948,-9.183E-5,1.142E-4,-2.204E-4,2.575E-4,-2.774E-4,-1.024E-4,0.02678,-0.04422,-0.001061,3.015E-5,-2.421E-4,1.251E-4,-8.134E-4,1.02E-4,junk,junk,junk,junk,junk
-5.655E-4,-0.002226,-9.622E-5,1.122E-4,-2.155E-4,2.458E-4,-2.625E-4,-1.081E-4,0.02654,-0.04397,-0.001048,1.284E-5,-2.356E-4,1.18E-4,-8.208E-4,1.054E-4,junk,junk,junk,junk,junk
-9.572E-4,-4.736E-4,7.357E-4,2.105E-4,0.001002,3.656E-4,7.25E-4,3.722E-5,0.03119,-0.04832,2.843E-4,1.492E-4,9.441E-4,2.427E-4,6.081E-4,5.104E-5,junk,junk,junk,junk,junk
-8.965E-4,-4.657E-4,7.294E-4,2.054E-4,9.871E-4,3.631E-4,7.352E-4,3.23E-5,0.03131,-0.04819,2.898E-4,1.501E-4,9.647E-4,2.391E-4,5.963E-4,6.675E-5,junk,junk,junk,junk,junk
-6.639E-4,-4.487E-4,7.333E-4,1.99E-4,9.942E-4,3.568E-4,7.717E-4,2.072E-5,0.03128,-0.04799,3.235E-4,1.544E-4,9.735E-4,2.432E-4,6.496E-4,6.32E-5,junk,junk,junk,junk,junk
